Architecture,LR,Dropout,Batch Size,AUC,Precision,Recall,F1-Score,Time
"[64, 32, 16]",0.0001,0.4,16,0.9734067021464217,0.7715297201110124,0.9459772821493839,0.8491855386579038,378.49288606643677
"[64, 32, 16]",0.0001,0.4,32,0.9737161547765021,0.7863623912643016,0.9413556401729375,0.8558184741281145,236.35124278068542
"[64, 32, 16]",0.0001,0.4,64,0.962529557745814,0.734586403684615,0.9358845995971571,0.8222715851791996,122.7171151638031
"[64, 32, 16]",0.0001,0.5,16,0.9761295366142182,0.7849133731280933,0.9493764252141507,0.8589528092747448,467.5853707790375
"[64, 32, 16]",0.0001,0.5,32,0.9687045231220981,0.7543149058052346,0.9468733174830588,0.839059387197314,233.91921091079712
"[64, 32, 16]",0.0001,0.5,64,0.96641718727168,0.7578327854956658,0.9346918956568551,0.8361165838764542,138.6743619441986
"[64, 32, 16]",0.001,0.4,16,0.9773736611735286,0.7784648560745999,0.9506627293353249,0.8552593307971179,257.27777099609375
"[64, 32, 16]",0.001,0.4,32,0.9771444372251803,0.771743704859023,0.9513079735625307,0.8512257421034984,136.30630111694336
"[64, 32, 16]",0.001,0.4,64,0.9769743699881456,0.7696614898315222,0.9548176541171298,0.8518525182211135,92.9863920211792
"[64, 32, 16]",0.001,0.5,16,0.9769745524015361,0.7561732353359771,0.9605405388994391,0.8457133978849656,275.3539640903473
"[64, 32, 16]",0.001,0.5,32,0.9753084539888551,0.7647675246703549,0.9494977775215598,0.8470408862221049,160.7492070198059
"[64, 32, 16]",0.001,0.5,64,0.9755304347081069,0.7648523920160465,0.9540502292647288,0.8482085113993216,115.39792490005493
"[64, 32, 16]",0.005,0.4,32,0.9750647717927723,0.7591276301870143,0.9406725413934399,0.8383310658013194,122.90963506698608
"[64, 32, 16]",0.005,0.4,64,0.9744197507513309,0.7841520389978854,0.9237357944425361,0.8469854990235154,72.25191497802734
"[64, 32, 16]",0.005,0.5,16,0.9657835589371413,0.7201065554786295,0.9558716429687003,0.8197895867229418,265.6940517425537
"[64, 32, 16]",0.005,0.5,32,0.9737445170423568,0.7883394895660423,0.9246569437630079,0.85045092978169,147.29407596588135
"[64, 32, 16]",0.005,0.5,64,0.974977573686056,0.7450929342586399,0.9500774345154543,0.8335516456401694,100.44279599189758
"[256, 128, 64]",0.0001,0.4,16,0.9714695434400376,0.7808343837577396,0.9425303869666848,0.853601619170905,577.6890029907227
"[256, 128, 64]",0.0001,0.4,32,0.9754207165646396,0.777641125697602,0.9543349016112668,0.8564518664253427,410.0542998313904
"[256, 128, 64]",0.0001,0.4,64,0.968632456134314,0.7607796823712485,0.9513538434184289,0.8447903072092287,235.87528491020203
"[256, 128, 64]",0.0001,0.5,16,0.9764253721925875,0.784949609329939,0.9520442264440001,0.8594271389153583,690.851893901825
"[256, 128, 64]",0.0001,0.5,32,0.9752169128426548,0.7864081033690798,0.9505039374945653,0.8601815532293487,427.44068002700806
"[256, 128, 64]",0.0001,0.5,64,0.9750705595244327,0.7925153630135819,0.9462356938049228,0.8615253938138714,276.24476408958435
"[256, 128, 64]",0.001,0.4,16,0.977447139049978,0.765041878022371,0.9591680255235369,0.8503716775346062,365.68772888183594
"[256, 128, 64]",0.001,0.4,32,0.9751585767265759,0.7700928493261994,0.951980798639848,0.851081656278223,205.7403428554535
"[256, 128, 64]",0.001,0.4,64,0.9755287240436632,0.7721658093298545,0.9496759102144111,0.8514179790864397,160.92106413841248
"[256, 128, 64]",0.001,0.5,16,0.9782080402208377,0.7736268253921055,0.95464690590775,0.8537759482455891,369.0065972805023
"[256, 128, 64]",0.001,0.5,32,0.9773896313162445,0.776908395748538,0.9527438017290016,0.8556436106900867,229.27486896514893
"[256, 128, 64]",0.001,0.5,64,0.9770843091353333,0.7813460812389571,0.9524184506081774,0.8576941673045624,161.02288579940796
"[256, 128, 64]",0.005,0.4,16,0.9510704228979907,0.7561465990711312,0.9095978811871415,0.8179597698498714,292.5615711212158
"[256, 128, 64]",0.005,0.4,32,0.9679866646777118,0.779350558077361,0.9018421633969961,0.8337479538183628,161.6591832637787
"[256, 128, 64]",0.005,0.4,64,0.9727617480944115,0.7805533719571632,0.9214177100918899,0.8430525121575029,118.63899803161621
"[256, 128, 64]",0.005,0.5,16,0.9113534994342803,0.6511565572402687,0.9317957592048305,0.7484244263338579,320.0883221626282
"[256, 128, 64]",0.005,0.5,32,0.9610117675811424,0.791739241384969,0.8921641748411775,0.8359420970123222,163.63532900810242
